2023-09-27T12:00:00Z,European Commission adopts 8th report on development of the rail market,"The eighth Rail Market Monitoring Report (RMMS) on the state of the EU rail market shows positive developments in 2019, before a significant change in traffic volumes in 2020 due to COVID-19.",News article,/news-events/news/european-commission-adopts-8th-report-development-rail-market-2023-09-27_en
2023-09-26T12:00:00Z,Sustainable transport: €7 billion available for key infrastructure projects under the Connecting Europe Facility (CEF) ,The Commission launches a call for proposals under the Connecting Europe Facility (CEF) for Transport.,News article,/news-events/news/sustainable-transport-eu7-billion-available-key-infrastructure-projects-under-connecting-europe-2023-09-26_en
2023-09-15T12:00:00Z,Single European Sky: new framework for interoperability rules,The Commission has adopted a new set of rules to better manage interoperability between the systems and constituents used to provide air traffic management (ATM) and air navigation services (ANS).,News article,/news-events/news/single-european-sky-new-framework-interoperability-rules-2023-09-15_en
2023-09-15T12:00:00Z,"European Mobility Week: 3,000 cities to showcase their approaches to sustainable urban mobility","Sustainable and energy-efficient mobility are the focus of this year’s European Mobility Week, which kicks off in 3000 towns and cities in 50 countries.",News article,/news-events/news/european-mobility-week-3000-cities-showcase-their-approaches-sustainable-urban-mobility-2023-09-15_en
2023-09-13T12:00:00Z,Evaluation confirms European Union Aviation Safety Agency (EASA) fit for purpose,A Commission evaluation of Regulation (EU) 2018/1139 on common rules in the field of civil aviation and establishing a European Union Aviation Safety Agency (‘EASA’) has given a positive appraisal of EASA’s performance and added value.,News article,/news-events/news/evaluation-confirms-european-union-aviation-safety-agency-easa-fit-purpose-2023-09-13_en
2023-09-11T12:00:00Z,Alternative fuels infrastructure: €352 million in EU funding for low-and zero-emission transport projects,The Commission announced 26 projects from 12 Member States that will receive funding to install alternative fuels infrastructure along the trans-European transport network (TEN-T).,News article,/news-events/news/alternative-fuels-infrastructure-eu352-million-eu-funding-low-and-zero-emission-transport-projects-2023-09-11_en
2023-09-08T12:00:00Z,Rail Transport: New harmonised EU standards to support cross-border rail,The Commission published a package of revised technical standards to improve rail interoperability across borders – the so-called ‘Technical Specifications for Interoperability’ (TSIs).,News article,/news-events/news/rail-transport-new-harmonised-eu-standards-support-cross-border-rail-2023-09-08_en
2023-09-01T12:00:00Z,Solidarity Lanes: European Commission team of experts visits Romania to discuss capacity of Danube corridor,"The programme includes visits to the port facilities and meetings with authorities, operators, transporters and traders. The discussions will focus on means to tackle bottlenecks, increase handling capacity, improve transit and streamline procedures and controls.",News article,https://romania.representation.ec.europa.eu/news/o-echipa-de-experti-comisiei-europene-viziteaza-romania-perioada-1-2-septembrie-pentru-discuta-2023-08-31_ro
2023-07-28T12:00:00Z,Call for applications for the selection of members of a sub-group to the Expert Group on Road Infrastructure Safety,"Call for applications for the selection of members of the sub-group to the Expert Group on Road Infrastructure Safety entitled ""Forgiving roadsides and self explaining and self enforcing roads"".",News article,/news-events/news/call-applications-selection-members-sub-group-expert-group-road-infrastructure-safety-2023-07-28_en
2023-07-25T12:00:00Z,"European Green Deal: Energy Efficiency Directive, FuelEU Maritime Regulation and Alternative Fuel Infrastructure Regulation adopted, helping make the EU ‘Fit for 55'","The Commission welcomes the final approval today of the revised Energy Efficiency Directive, FuelEU Maritime Regulation, Alternative Fuel Infrastructure Regulation (AFIR), as part of the ‘Fit for 55' package of legislation to reduce EU greenhouse gas emissions by at least 55% by 2030.",News article,/news-events/news/european-green-deal-energy-efficiency-directive-fueleu-maritime-regulation-and-alternative-fuel-2023-07-25_en
2023-07-14T12:00:00Z,July Infringements package: key decisions,July Infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_23_3445
2023-07-13T12:00:00Z,Vacancy for an HR Officer (establishment of a reserve list) (Contract Agent– FGIV) at the Europe's Rail Joint Undertaking (EU-RAIL),The deadline for applications is 21/08/2023,News article,https://rail-research.europa.eu/about-europes-rail/jobs/
2023-07-11T12:00:00Z,Green Deal: Greening freight for more economic gain with less environmental impact ,"The Commission is today proposing measures to make freight transport more efficient and more sustainable, by improving rail infrastructure management, offering stronger incentives for low-emission lorries, and better information on freight transport greenhouse gas emissions.",News article,/news-events/news/green-deal-greening-freight-more-economic-gain-less-environmental-impact-2023-07-11_en
2023-07-10T12:00:00Z,Study sets out step-by-step plan for better EU rail connections with Ukraine and Moldova,"A study assessing the options for increasing rail connectivity and interoperability between the EU, Ukraine and Moldova has concluded that the first step to improving connections between Poland and Ukraine...",News article,/news-events/news/study-sets-out-step-step-plan-better-eu-rail-connections-ukraine-and-moldova-2023-07-10_en
2023-07-07T12:00:00Z,"Maritime transport emissions: Commission welcomes new IMO climate ambition for 2030, 2040 and 2050 and calls to set transition in motion",The Commission welcomes the agreement reached today at the International Maritime Organization (IMO) to revise its 2018 strategy on reducing greenhouse gas (GHG) emissions from ships.,News article,/news-events/news/maritime-transport-emissions-commission-welcomes-new-imo-climate-ambition-2030-2040-and-2050-and-2023-07-07_en
2023-06-01T12:00:00Z,June infringement package: key decisions,June infringement package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_23_2707
2023-05-30T12:00:00Z,"Joint Communiqué by the U.S. Department of Transportation Secretary Pete Buttigieg and the European Commissioner for Transport, Adina Vălean on transatlantic cooperation ","Secretary of Transportation of the United States of America, Pete Buttigieg and European Commissioner for Transport, Adina Vălean, met on May 22, 2023, to discuss EU-U.S. support to Ukraine, ongoing cooperation in aviation and maritime transport, as well as issues of common interest in transport.",News article,/news-events/news/joint-communique-us-department-transportation-secretary-pete-buttigieg-and-european-commissioner-2023-05-30_en
2023-05-24T12:00:00Z,Road Transport: Commission proposes to adapt rules on driving and rest times for drivers of occasional bus and coach services,The Commission today proposed to adapt EU rules on breaks and rest periods for drivers to better reflect the nature of occasional bus and coach services. Drivers in this sector have a different work rhythm compared to those in freight or regular passenger transport.,News article,/news-events/news/road-transport-commission-proposes-adapt-rules-driving-and-rest-times-drivers-occasional-bus-and-2023-05-24_en
2023-05-24T12:00:00Z,Decarbonising aviation: European Commission to support development of sustainable aviation fuels around the world,The Commission announced support for the development of sustainable aviation fuels (SAF) under the International Civil Aviation Organization’s (ICAO) Capacity-building and Training for Sustainable Aviation Fuels programme (ACT-SAF)?,News article,/news-events/news/decarbonising-aviation-european-commission-support-development-sustainable-aviation-fuels-around-2023-05-24_en
2023-05-16T12:00:00Z,Connecting Europe: Commission signs high-level agreements with Western Balkans to improve transport links,"The Commission signed high-level agreements with Albania, Bosnia and Herzegovina, Kosovo, Montenegro, North Macedonia and Serbia.",News article,/news-events/news/connecting-europe-commission-signs-high-level-agreements-western-balkans-improve-transport-links-2023-05-16_en
2023-05-09T12:00:00Z,European Commission further integrates Moldova into EU Single Market through the Connecting Europe Facility for infrastructure funding,"Commissioner for Transport Adina Vălean and Moldova’s Prime Minister, Dorin Recean, signed an agreement in Chisinau, associating Moldova to the Connecting Europe Facility (CEF) programme.",News article,/news-events/news/european-commission-further-integrates-moldova-eu-single-market-through-connecting-europe-facility-2023-05-09_en
2023-05-04T12:00:00Z,Road transport emissions: Road charging advantages for efficient trailers ,The Commission proposes to take into account the effect of trailers on the CO2 emissions of heavy-goods vehicles in road charging schemes that differentiate tolls based on vehicles’ CO2 emissions.,News article,/news-events/news/road-transport-emissions-road-charging-advantages-efficient-trailers-2023-05-04_en
2023-05-03T12:00:00Z,EU transport infrastructure: EUR 790 million available for military mobility,The Commission launches a call for proposals under the CEF for projects that address both civilian and defence needs along the trans-European transport network (TEN-T),News article,/news-events/news/eu-transport-infrastructure-eur-790-million-available-military-mobility-2023-05-03_en
2023-04-27T12:00:00Z,Urban Mobility Days,"Save the Date for Urban Mobility Days 2023 taking place from 4-6 October in Seville, Spain.",News article,https://transport.ec.europa.eu/urbanmobilitydays_en
2023-04-26T12:00:00Z,European Green Deal: new law agreed to cut aviation emissions by promoting sustainable aviation fuels,The Commission welcomes the political agreement on the ReFuelEU Aviation proposal between the European Parliament and the Council.,News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_23_2389
2023-04-21T12:00:00Z,EU and India deepen ties at aviation summit,"The EU-India Aviation Summit in New Delhi confirmed the shared objective of further deepening EU-India political, technical, and industrial cooperation on aviation.",News article,/news-events/news/eu-and-india-deepen-ties-aviation-summit-2023-04-21_en
2023-04-20T12:00:00Z,EU – India Aviation Summit: Opening speech by Commissioner Adina Vălean,Opening speech by Commissioner Adina Vălean at the EU – India Aviation Summit.,News article,/news-events/news/eu-india-aviation-summit-opening-speech-commissioner-adina-valean-2023-04-20_en
2023-04-19T12:00:00Z,April Infringements package: key decisions,April Infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_23_1808
2023-04-14T12:00:00Z,Vacancy for a post of Executive Director (Temporary Agent– AD14) at the Europe's Rail Joint Undertaking (EU-RAIL),The deadline for applications is 15 May 2023 at 12.00 noon (Central European Time/ Brussels time),News article,https://rail-research.europa.eu/about-europes-rail/jobs/
2023-04-05T12:00:00Z,Continuously open call for applications for the selection of member organisations of the Stakeholders Advisory Group on Maritime Security,The Commission is calling for applications with a view to renewing the membership of the informal expert group entitled ‘Stakeholders Advisory Group on Maritime Security’ by selecting members other than Member States' authorities.,News article,/news-events/news/continuously-open-call-applications-selection-member-organisations-stakeholders-advisory-group-2023-04-05_en
2023-04-03T12:00:00Z,First RLCF workshop: recent developments and projects to boost production and supply of renewable and low-carbon fuels,"RLCF Value Chain Industrial Alliance have held their first workshop, discussing the latest developments within the industry and presenting projects in areas such as feedstock sourcing, fuel production, and the uptake of aviation and maritime fuels.",News article,/news-events/news/first-rlcf-workshop-recent-developments-and-projects-boost-production-and-supply-renewable-and-low-2023-04-03_en
